externalId,name,departmentId,lat,lon,address,district,cameraType,mount,geometryClass,declaredCodec,declaredFps,declaredResolution,vendor,vmsPlatform,retentionDays,storageType,adapterKind
,ONGC Office Circle #2,,23.050519,72.531619,"ONGC Office Circle #2, Ahmedabad, Gujarat",Ahmedabad,analog,static,unclassified,h264,12,1080p,CP Plus,Hikvision iVMS-4200,7,local,hls
GJ-AHM-0034,Paldi Circle #2,,23.008198,72.552957,"Paldi Circle #2, Ahmedabad, Gujarat",Ahmedabad,ip,static,anpr_viable,h264,10,1920x1080,CP Plus,Hikvision iVMS-4200,30,local,hls
GJ-AHM-0035,Visat Teen Rasta #2,,23.087036,72.588520,"Visat Teen Rasta #2, Ahmedabad, Gujarat",Ahmedabad,analog,static,detection_only,h264,18,1280x720,Hikvision,CP Plus Orange,15,local,hls
GJ-AHM-0036,CN Vidhyalaya P2 RLVD #2,,23.034957,72.553606,"CN Vidhyalaya P2 RLVD #2, Ahmedabad, Gujarat",Ahmedabad,ip,mobile,unclassified,h264,30,1280x960,Bosch,Milestone XProtect,15,local,hls
GJ-AHM-0037,Delight P1 RLVD #2,,23.042706,72.563903,"Delight P1 RLVD #2, Ahmedabad, Gujarat",Ahmedabad,analog,static,anpr_viable,h264,10,1920x1080,Honeywell,Milestone XProtect,30,local,onvif
GJ-AHM-0038,Nehrunagar Circle #2,,23.009524,72.532789,"Nehrunagar Circle #2, Ahmedabad, Gujarat",Ahmedabad,analog,mobile,detection_only,h264,25,1280x960,Dahua,Hikvision iVMS-4200,15,cloud,onvif
GJ-AHM-0039,Shivranjani Crossroads #2,,23.013163,72.522330,"Shivranjani Crossroads #2, Ahmedabad, Gujarat",Ahmedabad,ip,mobile,unclassified,h264,20,854x480,CP Plus,Milestone XProtect,90,local,rtsp
GJ-AHM-0040,Iskcon Crossroads #2,,23.024479,72.505617,"Iskcon Crossroads #2, Ahmedabad, Gujarat",Ahmedabad,ip,static,anpr_viable,h264,12,640x480,Dahua,Genetec Security Center,90,local,hls
GJ-AHM-0041,Vastrapur Lake #2,,23.033513,72.527510,"Vastrapur Lake #2, Ahmedabad, Gujarat",Ahmedabad,ip,static,detection_only,h265,10,854x480,Bosch,Genetec Security Center,7,local,hls
GJ-AHM-0042,Gurukul Road #2,,23.051354,72.542673,"Gurukul Road #2, Ahmedabad, Gujarat",Ahmedabad,analog,static,unclassified,h265,10,1920x1080,Axis,CP Plus Orange,30,local,onvif
GJ-AHM-0043,Sabarmati Riverfront N #2,,23.063392,72.576839,"Sabarmati Riverfront N #2, Ahmedabad, Gujarat",Ahmedabad,ip,mobile,anpr_viable,h264,12,854x480,Dahua,Hikvision iVMS-4200,30,local,rtsp
GJ-AHM-0044,Kalupur Station Approach #2,,23.022723,72.601652,"Kalupur Station Approach #2, Ahmedabad, Gujarat",Ahmedabad,ip,static,detection_only,h265,30,854x480,CP Plus,Milestone XProtect,7,local,hls
GJ-AHM-0045,Sarangpur Bridge #2,,23.024803,72.590776,"Sarangpur Bridge #2, Ahmedabad, Gujarat",Ahmedabad,ip,mobile,unclassified,h264,20,854x480,CP Plus,Milestone XProtect,7,local,rtsp
GJ-GAN-0046,Tri Mandir Adalaj Tollnaka #2,,23.161896,72.576783,"Tri Mandir Adalaj Tollnaka #2, Gandhinagar, Gujarat",Gandhinagar,ip,static,anpr_viable,h264,25,640x480,CP Plus,Genetec Security Center,15,cloud,hls
GJ-GAN-0047,Sector 21 Circle #2,,23.212626,72.640041,"Sector 21 Circle #2, Gandhinagar, Gujarat",Gandhinagar,ip,static,detection_only,h265,30,1920x1080,Bosch,CP Plus Orange,90,cloud,onvif
GJ-GAN-0048,Infocity Crossroads #2,,23.186337,72.626315,"Infocity Crossroads #2, Gandhinagar, Gujarat",Gandhinagar,ip,static,unclassified,h264,12,640x480,Bosch,Hikvision iVMS-4200,7,local,rtsp
GJ-GAN-0049,Sargasan Circle #2,,23.176272,72.632967,"Sargasan Circle #2, Gandhinagar, Gujarat",Gandhinagar,ip,static,anpr_viable,h264,18,1280x720,Honeywell,CP Plus Orange,7,local,rtsp
GJ-GAN-0050,Ch-0 Highway Junction #2,,23.228632,72.646838,"Ch-0 Highway Junction #2, Gandhinagar, Gujarat",Gandhinagar,ip,static,detection_only,h264,18,640x480,Bosch,Milestone XProtect,15,local,hls
